,Status,Batch,pca_browning_score_PC1,pca_browning_score_PC2,lda_browning_score_Brown,lda_browning_score_White,lda_browning_score_Brown_lasso,lda_browning_score_White_lasso,rf_browning_score_Brown,rf_browning_score_White,tabpfn_browning_score_Brown,tabpfn_browning_score_White,lr_browning_score_Brown,lr_browning_score_White,lr_browning_score_Brown_markers,lr_browning_score_White_markers,Composite_Score
Kristina-Kristina-LFQ intensity HFD_CD_iWAT_6_4224,Intermediate,Kristina,-66.96528867779494,-41.30068535866193,0.0,1.0,1.0,0.0,0.25,0.75,0.2127633,0.7872367,0.13672526831130138,0.8632747316886986,0.040536818977035094,0.9594631810229649,-102.26597405135803
Kristina-Kristina-LFQ intensity HFD_iWAT_1_1106,Intermediate,Kristina,-76.60284655281637,-38.69478226121318,1.0,0.0,0.0,1.0,0.28,0.72,0.18590444,0.81409556,0.2622060610030539,0.7377939389969461,0.8659014517622449,0.13409854823775513,-109.29762881402955
Kristina-Kristina-LFQ intensity HFD_iWAT_2_1541,Intermediate,Kristina,-34.480069410946804,-8.412595155698497,1.0,0.0,1.0,0.0,0.43,0.57,0.36266297,0.6373371,0.17970894678419136,0.8202910532158086,0.009120024932877446,0.9908799750671226,-36.89266450704066
Kristina-Kristina-LFQ intensity HFD_iWAT_3_2002,Intermediate,Kristina,-39.09369868376379,-15.72940989391616,1.0,0.0,1.0,0.0,0.43,0.57,0.31281078,0.6871893,0.20230288889110737,0.7976971111088926,0.022378234470669445,0.9776217655293306,-48.8231085180753
Kristina-Kristina-LFQ intensity HFD_iWAT_4_2172,Intermediate,Kristina,-27.589105399435564,-16.806425792300814,1.0,0.0,1.0,0.0,0.46,0.54,0.3358118,0.6641882,0.39547265021279454,0.6045273497872055,0.029429285114798254,0.9705707148852017,-38.39553119173638
Kristina-Kristina-LFQ intensity HFD_iWAT_5_3421,Intermediate,Kristina,-35.63987976718752,-9.81600355473283,0.0,1.0,1.0,0.0,0.42,0.58,0.3036036,0.6963964,0.36597858295728747,0.6340214170427125,0.4136531978047908,0.5863468021952092,-39.45588332192035
Kristina-Kristina-LFQ intensity HFD_iWAT_6_4226,Intermediate,Kristina,-42.13031652019525,-22.406379466052883,1.0,0.0,0.0,1.0,0.3,0.7,0.21100852,0.7889915,0.2130309976405209,0.7869690023594791,0.34236057498147765,0.6576394250185224,-58.53669595644581
Melina-Melina-RT1,Brown,Melina,76.01431942682036,-53.67091119281817,1.0,0.0,1.0,0.0,0.98,0.02,0.99941695,0.0005830336,0.9928077543507507,0.007192245649249255,0.9838414241014553,0.01615857589854475,28.343408214968292
Melina-Melina-RT2,Brown,Melina,80.24194280445246,-48.24547770553229,1.0,0.0,1.0,0.0,0.98,0.02,0.9995338,0.00046627223,0.9937882305064263,0.006211769493573679,0.9749841654343546,0.02501583456564538,37.99646514362366
Melina-Melina-RT3,Brown,Melina,76.72564357499736,-61.29434444346837,1.0,0.0,1.0,0.0,0.98,0.02,0.9995417,0.00045830323,0.9989376871186596,0.001062312881340441,0.9950353732846743,0.0049646267153257645,21.431299134643105
Melina-Melina-RT4,Brown,Melina,80.26247534748309,-63.361316586674995,1.0,0.0,1.0,0.0,1.0,0.0,0.99962354,0.00037650295,0.9990683184194534,0.0009316815805465583,0.9778998991845075,0.022100100815492508,22.90115880082586
Melina-Melina-RT5,Brown,Melina,86.25883109176766,-61.15338262659088,1.0,0.0,1.0,0.0,0.99,0.01,0.9995314,0.00046861256,0.9978650558472785,0.002134944152721573,0.9934686238188147,0.006531376181185316,31.10544846602079
Melina-Melina-RT6,Brown,Melina,84.42955619692198,-66.1634802589622,1.0,0.0,1.0,0.0,0.98,0.02,0.99957323,0.00042673957,0.9982424540221004,0.0017575459778995592,0.9897355073780361,0.01026449262196399,24.266075908273876
Melina-Melina-Cold1,Brown,Melina,84.96230418168477,-59.232241889467694,1.0,0.0,1.0,0.0,0.99,0.01,0.99958557,0.00041446925,0.9983333199189641,0.0016666800810358313,0.9816928241535066,0.018307175846493468,31.7300623303722
Melina-Melina-Cold2,Brown,Melina,86.5666673200192,-63.1589688081725,1.0,0.0,1.0,0.0,0.99,0.01,0.99957967,0.00042030666,0.9992737243474504,0.0007262756525496238,0.9948661697488276,0.0051338302511723995,29.407698486555475
Melina-Melina-Cold3,Brown,Melina,86.43308299485517,-64.43277255942454,1.0,0.0,1.0,0.0,1.0,0.0,0.9995639,0.0004361247,0.9981399961094489,0.0018600038905510488,0.993409320472029,0.006590679527970967,28.00031043295681
Melina-Melina-Cold4,Brown,Melina,87.12567327604553,-68.27229922818437,1.0,0.0,1.0,0.0,0.98,0.02,0.9995103,0.00048973336,0.9984123097165802,0.001587690283419744,0.9944632208865142,0.005536779113485773,24.85337406945621
Melina-Melina-Cold5,Brown,Melina,89.47996459055352,-68.29754873563691,1.0,0.0,1.0,0.0,0.99,0.01,0.99953485,0.00046514376,0.9982051706337756,0.0017948293662244132,0.9822645107214579,0.01773548927854207,27.18241584403178
Melina-Melina-Cold6,Brown,Melina,84.92193580393116,-69.80221339296995,1.0,0.0,1.0,0.0,0.99,0.01,0.99950856,0.0004914146,0.9979241034870556,0.0020758965129444255,0.9950374314246617,0.0049625685753382385,21.119722385291638
Oeckl-Oeckl-iBAT.T23.WT_1,Brown,Oeckl,22.478282336475157,11.03640909361526,1.0,0.0,1.0,0.0,1.0,0.0,0.9996897,0.00031030577,0.9963084442646413,0.003691555735358786,0.9960825893151559,0.003917410684844041,39.51469143407764
Oeckl-Oeckl-iBAT.T23.WT_2,Brown,Oeckl,22.415138224513854,12.020409501001488,1.0,0.0,1.0,0.0,1.0,0.0,0.99969435,0.00030566342,0.9964301387190119,0.0035698612809880984,0.9953403157015785,0.004659684298421441,40.43554773631286
Oeckl-Oeckl-iBAT.T23.WT_3,Brown,Oeckl,22.111614131805865,11.260671388960407,1.0,0.0,1.0,0.0,0.98,0.02,0.9996769,0.00032310837,0.9971231119936443,0.002876888006355694,0.9952326685438793,0.004767331456120726,39.37228551235526
Oeckl-Oeckl-iBAT.T23.WT_4,Brown,Oeckl,22.310590825049925,10.228846162060654,1.0,0.0,1.0,0.0,0.99,0.01,0.9996662,0.00033379052,0.997998476442959,0.002001523557040991,0.9959498805966037,0.004050119403396249,38.53943699162167
Oeckl-Oeckl-iWAT.T23.WT_1,Intermediate,Oeckl,20.57642028760818,18.103928899869572,1.0,0.0,0.9999999999999983,1.6255128821513352e-15,0.93,0.07,0.9968008,0.0031992309,0.6053820264716852,0.3946179735283148,0.8663528845703035,0.1336471154296965,44.68034919865362
Oeckl-Oeckl-iWAT.T23.WT_2,Intermediate,Oeckl,20.12846364083626,18.0809086080604,1.0,0.0,0.0,1.0,0.92,0.08,0.99547243,0.0045275525,0.5702438350522243,0.42975616494777563,0.8375798035134886,0.16242019648651138,44.20937223259851
Oeckl-Oeckl-iWAT.T23.WT_3,Intermediate,Oeckl,19.808843979294366,17.636153298788315,1.0,0.0,0.0,1.0,0.94,0.06,0.9969786,0.003021434,0.5397233844418883,0.4602766155581117,0.7301893484944386,0.2698106515055613,43.44499729298384
Oeckl-Oeckl-iWAT.T23.WT_4,Intermediate,Oeckl,19.750404548186758,18.291216189935025,1.0,0.0,0.0,1.0,0.93,0.07,0.99536127,0.0046387296,0.47026086507977716,0.5297391349202228,0.8572182217942543,0.1427817782057457,44.041620736259134
Rhabi-Rhabi-VEH1W,Intermediate,Rhabi,9.100273594569638,22.80553961964039,1.0,0.0,1.0,0.0,0.88,0.12,0.99503225,0.0049677975,0.2825492222869289,0.7174507777130711,0.6087914770301786,0.39120852296982145,37.9058132626388
Rhabi-Rhabi-VEH2W,Intermediate,Rhabi,9.2685877162017,23.767656734389103,1.0,0.0,1.0,0.0,0.85,0.15,0.995736,0.0042639766,0.2749825951914818,0.7250174048085182,0.6456628429369897,0.3543371570630103,39.0362444301017
Rhabi-Rhabi-VEH3W,Intermediate,Rhabi,8.024467253515466,22.806355828801127,1.0,0.0,1.0,0.0,0.87,0.13,0.9963943,0.0036057774,0.32021640666135165,0.6797835933386484,0.7785486187053171,0.22145138129468286,36.8308231363333
Rhabi-Rhabi-VEH4W,Intermediate,Rhabi,7.906361288456313,23.7129674844702,1.0,0.0,1.0,0.0,0.9,0.1,0.99522555,0.004774507,0.3075543132154003,0.6924456867845997,0.5938126422797066,0.40618735772029335,37.61932882880587
Rhabi-Rhabi-VEH5W,Intermediate,Rhabi,7.736310671314725,23.527187865746306,1.0,0.0,1.0,0.0,0.92,0.08,0.9956734,0.004326577,0.30578903994534123,0.6942109600546588,0.4400148127107204,0.5599851872892796,37.26349853193876
Rhabi-Rhabi-VEH1B,Brown,Rhabi,11.022084586610445,22.412824262883667,1.0,0.0,1.0,0.0,0.97,0.03,0.99949795,0.00050210225,0.9958599334334172,0.004140066566582872,0.9453241984242335,0.054675801575766445,39.4349089018228
Rhabi-Rhabi-VEH2B,Brown,Rhabi,11.910938494167329,22.493152316549452,1.0,0.0,1.0,0.0,0.98,0.02,0.9995188,0.0004811932,0.9947542386482124,0.0052457613517875685,0.9660895108844142,0.03391048911558582,40.404090815606224
Rhabi-Rhabi-VEH3B,Brown,Rhabi,10.95319541254696,20.95060001787563,1.0,0.0,1.0,0.0,0.98,0.02,0.99948215,0.0005178555,0.9952722652017711,0.0047277347982288935,0.9847922953573887,0.01520770464261131,37.903795440783554
Rhabi-Rhabi-VEH4B,Brown,Rhabi,10.250299676264872,21.535165768170067,1.0,0.0,1.0,0.0,0.98,0.02,0.9994982,0.0005018065,0.9963156725781172,0.003684327421882823,0.9624110997409038,0.03758890025909618,37.78546543942908
Rhabi-Rhabi-VEH5B,Brown,Rhabi,11.000485213591059,20.996083934657847,1.0,0.0,1.0,0.0,0.98,0.02,0.99953264,0.0004674036,0.9959153102428175,0.004084689757182438,0.9622481135805789,0.03775188641942107,37.99656919181734
WangBAT-WangBAT-Intensity of BAT_CD1,Brown,WangBAT,20.863713598929994,27.46053491847595,1.0,0.0,1.0,0.0,1.0,0.0,0.9995836,0.00041642488,0.9969890735769938,0.0030109264230061,0.9783465729824334,0.02165342701756656,54.32424854423968
WangBAT-WangBAT-Intensity of BAT_CD2,Brown,WangBAT,19.77262417283445,26.80291152399989,1.0,0.0,1.0,0.0,1.0,0.0,0.99966395,0.00033604505,0.9968831243776675,0.0031168756223325677,0.9699037204487276,0.030096279551272354,52.575535690897155
WangBAT-WangBAT-Intensity of BAT_CD3,Brown,WangBAT,20.722267253531054,27.715704633260213,1.0,0.0,1.0,0.0,1.0,0.0,0.9996228,0.00037717074,0.9972901853646415,0.002709814635358422,0.9737432747864638,0.02625672521353622,54.43797187934069
WangBAT-WangBAT-Intensity of BAT_CD4,Brown,WangBAT,21.04594389859192,27.344792407685645,1.0,0.0,1.0,0.0,1.0,0.0,0.99961853,0.00038145468,0.9973676783243023,0.002632321675697753,0.9772439789352306,0.02275602106476932,54.39073629123088
WangBAT-WangBAT-Intensity of BAT_CD5,Brown,WangBAT,20.957533994125246,28.068952169432475,1.0,0.0,1.0,0.0,1.0,0.0,0.9996452,0.0003548027,0.9975835370385068,0.0024164629614932356,0.9790934528673307,0.020906547132669248,55.026486139808995
WangBAT-WangBAT-Intensity of BAT_HFD1,Brown,WangBAT,22.248323426076517,27.83304248376872,1.0,0.0,1.0,0.0,0.99,0.01,0.99959004,0.00040998188,0.998714284629884,0.001285715370116012,0.9937188531574116,0.006281146842588415,56.08136593097461
WangBAT-WangBAT-Intensity of BAT_HFD2,Brown,WangBAT,23.797088515637586,26.681169525557106,1.0,0.0,1.0,0.0,0.98,0.02,0.99968475,0.0003152638,0.9986580850036049,0.0013419149963951786,0.9915498558045933,0.008450144195406723,56.478258056037646
WangBAT-WangBAT-Intensity of BAT_HFD3,Brown,WangBAT,23.393376346746727,27.080991918799665,1.0,0.0,1.0,0.0,0.99,0.01,0.9995874,0.00041257142,0.9987152929267167,0.0012847070732832754,0.9948964129299134,0.005103587070086589,56.47436825361382
WangBAT-WangBAT-Intensity of BAT_HFD4,Brown,WangBAT,21.495579113053154,27.88474860048806,1.0,0.0,1.0,0.0,0.99,0.01,0.999676,0.00032405028,0.9986652194245306,0.00133478057546947,0.9902313168387816,0.009768683161218412,55.3803277529769
WangBAT-WangBAT-Intensity of BAT_HFD5,Brown,WangBAT,23.13144967136168,26.603191149927707,1.0,0.0,1.0,0.0,1.0,0.0,0.999689,0.00031103098,0.9988387218602924,0.0011612781397076105,0.9889559431156506,0.011044056884349392,55.734640835230124
WangWAT-WangWAT-Intensity of sWAT_CD1,Intermediate,WangWAT,10.551832193349124,30.863133682764442,1.0,0.0,1.0,0.0,0.95,0.05,0.9971247,0.0028753574,0.6884315095769079,0.3115684904230921,0.9722527668027435,0.027747233197256464,47.41496590545023
WangWAT-WangWAT-Intensity of sWAT_CD2,Intermediate,WangWAT,13.239864100932525,31.748344262942364,1.0,0.0,1.0,0.0,0.96,0.04,0.9976765,0.0023235173,0.6854907353162897,0.3145092646837103,0.9615944998923652,0.038405500107634744,50.988208372955285
WangWAT-WangWAT-Intensity of sWAT_CD3,Intermediate,WangWAT,13.458624120422959,33.65676282790758,1.0,0.0,1.0,0.0,0.98,0.02,0.9967624,0.0032376095,0.5811737560952073,0.41882624390479267,0.9773310937642165,0.022668906235783513,53.11538695275432
WangWAT-WangWAT-Intensity of sWAT_CD4,Intermediate,WangWAT,14.207894580150171,30.970179669087386,1.0,0.0,1.0,0.0,0.94,0.06,0.99549973,0.004500279,0.743428886693631,0.25657111330636895,0.9874891339567234,0.012510866043276522,51.17807425855078
WangWAT-WangWAT-Intensity of sWAT_CD5,Intermediate,WangWAT,11.33766189111222,27.37203249157833,1.0,0.0,1.0,0.0,0.93,0.07,0.98654246,0.013457579,0.5054926126610602,0.49450738733893984,0.9795392677196815,0.02046073228031853,44.709694424600066
WangWAT-WangWAT-Intensity of sWAT_HFD1,Intermediate,WangWAT,10.298149155277741,32.35113131767395,1.0,0.0,1.0,0.0,0.93,0.07,0.9941019,0.0058981236,0.677101873584355,0.32289812641564497,0.9599722888933162,0.04002771110668374,48.64928047853963
WangWAT-WangWAT-Intensity of sWAT_HFD2,Intermediate,WangWAT,10.910369360315283,32.71762825054544,1.0,0.0,1.0,0.0,0.89,0.11,0.99537677,0.0046232305,0.7198374752341403,0.2801625247658596,0.9526229790049102,0.04737702099508974,49.62799760713543
WangWAT-WangWAT-Intensity of sWAT_HFD3,Intermediate,WangWAT,10.911798643811379,33.30727382432426,1.0,0.0,1.0,0.0,0.9,0.1,0.99646676,0.003533255,0.45720407727182144,0.5427959227281786,0.9089614774333985,0.09103852256660147,50.21907247907868
WangWAT-WangWAT-Intensity of sWAT_HFD4,Intermediate,WangWAT,8.022987385595972,35.8829931867166,1.0,0.0,1.0,7.242403188962291e-60,0.93,0.07,0.9940666,0.005933409,0.26350244807310597,0.736497551926894,0.7828044902831931,0.2171955097168069,49.905980577434846
WangWAT-WangWAT-Intensity of sWAT_HFD5,Intermediate,WangWAT,9.829244881378202,33.052432615915684,1.0,0.0,1.0,0.0,0.94,0.06,0.99548316,0.0045168656,0.43821369713841807,0.5617863028615819,0.9145650639623749,0.08543493603762507,48.88167752290526
